"country","naics","industry_name","year","GDP in Current Prices (Millions)","Cost of Capital (Millions)","Cost of ICT Capital (Millions)","Cost of non-ICT Capital (Millions)","Cost of Labour (Millions)","Hours Worked (Millions)","Quantity Index of GDP","Quantity Index of Capital Services","Quantity Index of ICT Capital Services","Quantity Index of Non-ICT Capital","Quantity Index of Labour","Quantity Index of Hours Worked","Total Cost of Capital and Labour (Millions)","Index of Multifactor Productivity","Index of Labour Productivity","Index of Capital Productivity","Index of Capital Intensity","Index of ICT Capital Intensity","Index of non-ICT Capital Intensity","Index of Labour Composition","Contribution of Capital Intensity","Contribution of ICT Capital Intensity","Contribution of non-ICT Capital Intensity","Contribution of Labour Composition"
"United States","21","Mining, oil and gas extraction",2005,215429,167727,633,167094,47702,276.465,65.1256876445263,90.0386120045378,42.4669244299697,90.3674843875887,88.437746924377,97.3361665803689,215429,59.946538197358,57.2221190770677,61.8599242099207,92.5027306578736,0.436291318241976,0.928406034081625,0.908580541348475,97.6505004495974,101.839516595198,97.9851020999395,97.7519331899433
"United States","21","Mining, oil and gas extraction",2006,261615,203933,845,203088,57680,305.298,74.7891953084807,90.1367403347217,53.4064610613522,90.3798257774703,97.7911240012141,106.991220595033,261613,67.2720881743009,59.7828439918034,70.9615127590939,84.2468567359312,0.499166761200885,0.844740580346888,0.914010733379313,90.7913577913704,101.881811001056,91.0613850265202,97.8807191873997
"United States","21","Mining, oil and gas extraction",2007,300379,236297,1056,235241,64083,323.216,81.037787783121,91.5640783499326,70.1096179447366,91.7057360415416,105.42518979032,113.096391495283,300380,70.8368744301949,61.2808360443167,75.6917073739257,80.9610962289202,0.619910299681494,0.810863501735741,0.932171118781598,88.0065088659037,101.956278673807,88.2011583749256,98.2993164883095
"United States","21","Mining, oil and gas extraction",2008,370665,296807,1419,295388,73859,341.513,78.4950666132237,93.516575579145,88.4200441105969,93.5669897263643,111.516595831969,119.327298349703,370666,66.6973256256932,56.2585335405739,71.7859777792154,78.369808813641,0.740987563897336,0.784120574423425,0.93454387532647,85.7633473291938,102.02309205531,85.8949450528868,98.3508831513939
"United States","21","Mining, oil and gas extraction",2009,265661,199914,1055,198859,65747,305.389,96.0227882606284,93.1336576380816,107.662524434831,93.0836890566182,98.9229961653916,105.988903812113,265661,84.0715534714029,77.4818114004273,88.1766319929252,87.8711396083307,1.01579052676764,0.878239945019412,0.933333515183366,93.7342158375544,102.1486706419,93.7581994795984,98.3224161812189
"United States","21","Mining, oil and gas extraction",2010,293799,223241,1242,221999,70559,313.382,85.9080031062915,92.6674398716605,118.574019942889,92.565105739355,102.023711021421,108.729123267593,293800,74.9356209938023,67.5730607888651,79.2852340180813,85.2278001392476,1.09054516747152,0.851336817197937,0.938329197875814,91.5940933377819,102.178409769141,91.5898498929318,98.4504742271697
"United States","21","Mining, oil and gas extraction",2011,340423,258556,1475,257081,81866,361.267,89.0696910433942,94.3060589993776,132.198775876315,94.1526184902254,117.446989856054,124.174357468216,340422,74.1153505197389,61.3456648444476,80.774857907805,75.9464843806553,1.06462218586598,0.75822915785431,0.945823213831539,83.912691022346,102.167889017786,83.9170336688861,98.6388639727052
"United States","21","Mining, oil and gas extraction",2012,342538,250635,1482,249153,91902,393.413,100,97.1155103951134,150.208607001647,96.90005044451,129.783183308272,134.759555850062,342537,79.3666142170679,63.4638306226533,88.063766461785,72.0657691267308,1.11464160039808,0.71905884397782,0.963072210275563,80.694453009814,102.188200907971,80.6815023023116,99.0934038079161
"United States","21","Mining, oil and gas extraction",2013,368931,274092,1637,272455,94839,394.148,103.946829135935,99.4537347737376,160.134994972747,99.208954663342,133.337301185966,135.010828436271,368931,80.4912463351396,65.8458634233947,89.3873376411559,73.663524567352,1.18609001090854,0.734822205095732,0.987604496100887,82.0097550499488,102.216024478398,81.9741003265628,99.7503274503547
"United States","21","Mining, oil and gas extraction",2014,399907,297345,1771,295574,102562,413.498,114.798340206315,101.705967127503,157.936325756482,101.477815441306,141.872962036504,141.486351228644,399907,86.0449757028487,69.3916022240751,96.5328277374874,71.8839423338758,1.1162654516495,0.717226888389515,1.00273249542802,80.5326336413147,102.188536591441,80.5193456681138,100.140440404966
